"6616050,Głowa Kasandry,Marek Baraniecki,""Baraniecki, Marek"",,""="""""""""",""=""""9788375780130"""""",0,3.79,SuperNOWA,Paperback,300,2008,2008,,2017/10/21,to-read,to-read (#308),to-read,,,,0,,,0,,,,,";
"41074,The Sheep Look Up,John Brunner,""Brunner, John"",""James John Bell, David Brin"",""=""""1932100016"""""",""=""""9781932100013"""""",0,3.98,BenBella Books,Paperback,388,2003,1972,,2017/10/21,to-read,to-read (#307),to-read,,,,0,,,0,,,,,";
"12814594,""The Drowned Cities (Ship Breaker, #2)"",Paolo Bacigalupi,""Bacigalupi, Paolo"",,""=""""0316056243"""""",""=""""9780316056243"""""",0,3.89,""Little, Brown Books for Young Readers"",Hardcover,437,2012,2012,,2017/10/21,to-read,to-read (#306),to-read,,,,0,,,0,,,,,";
"889284,The Postman,David Brin,""Brin, David"",,""=""""0553278746"""""",""=""""9780553278743"""""",0,3.88,Spectra/Bantam Books,Mass Market Paperback,323,1997,1985,,2017/10/21,to-read,to-read (#305),to-read,,,,0,,,0,,,,,";
"98233,Founders at Work: Stories of Startups' Early Days,Jessica Livingston,""Livingston, Jessica"",,""=""""1590597141"""""",""=""""9781590597149"""""",0,3.93,Apress,Hardcover,456,2007,2001,,2017/10/19,to-read,to-read (#304),to-read,,,,0,,,0,,,,,";
"830364,Profiles in Courage,John F. Kennedy,""Kennedy, John F."",""Caroline Kennedy, Robert F. Kennedy"",""=""""0060530626"""""",""=""""9780060530624"""""",0,3.91,Harper,Hardcover,245,2003,1955,,2017/10/19,to-read,to-read (#303),to-read,,,,0,,,0,,,,,";
"68553,Lives of the Later Caesars,Unknown,""Unknown, Unknown"",Anthony Richard Birley,""=""""0140443088"""""",""=""""9780140443080"""""",0,3.83,Penguin Classics,Paperback,336,1976,1976,,2017/10/19,to-read,to-read (#302),to-read,,,,0,,,0,,,,,";
"562416,""Lives of Eminent Philosophers, Vol 1, Books 1-5"",Diogenes Laërtius,""Laërtius, Diogenes"",R.D. Hicks,""=""""0674992032"""""",""=""""9780674992030"""""",0,4.21,Harvard University Press (Cambridge/London),Hardcover,549,1925,250,,2017/10/19,to-read,to-read (#301),to-read,,,,0,,,0,,,,,";
"7812750,How They Succeeded: Life Stories of Successful Men Told by Themselves,Orison Swett Marden,""Marden, Orison Swett"",,""=""""1142008657"""""",""=""""9781142008659"""""",0,3.49,Nabu Press,Paperback,372,2010,1901,,2017/10/19,to-read,to-read (#300),to-read,,,,0,,,0,,,,,";
"16893,The Crack-Up,F. Scott Fitzgerald,""Fitzgerald, F. Scott"",Edmund Wilson,""=""""0811212475"""""",""=""""9780811212472"""""",0,3.93,New Directions Publishing Corporation,Paperback,347,2003,1936,,2017/10/19,to-read,to-read (#299),to-read,,,,0,,,0,,,,,";
"1293866,The Disenchanted,Budd Schulberg,""Schulberg, Budd"",,""=""""0850315204"""""",""=""""9780850315202"""""",0,4.09,Bantam,Paperback,322,1950,1950,,2017/10/19,to-read,to-read (#298),to-read,,,,0,,,0,,,,,";
"5527,All the King's Men,Robert Penn Warren,""Warren, Robert Penn"",,""=""""0156004801"""""",""=""""9780156004800"""""",0,4.08,Harcourt Brace,Paperback,439,1996,1946,,2017/10/19,to-read,to-read (#297),to-read,,,,0,,,0,,,,,";
"101191,What Makes Sammy Run?,Budd Schulberg,""Schulberg, Budd"",,""=""""0375508317"""""",""=""""9780375508318"""""",0,4.05,Random House,Hardcover,320,2002,1941,,2017/10/19,to-read,to-read (#296),to-read,,,,0,,,0,,,,,";
"203073,The Apprenticeship of Duddy Kravitz,Mordecai Richler,""Richler, Mordecai"",,""=""""0671028472"""""",""=""""9780671028473"""""",0,3.71,Gallery Books,Paperback,384,1999,1959,,2017/10/19,to-read,to-read (#295),to-read,,,,0,,,0,,,,,";
"11466,This Boy's Life,Tobias Wolff,""Wolff, Tobias"",,""=""""0802136680"""""",""=""""9780802136688"""""",0,3.98,Grove Press,Paperback,304,2000,1989,,2017/10/19,to-read,to-read (#294),to-read,,,,0,,,0,,,,,";
"328802,Totto-chan: The Little Girl at the Window,Tetsuko Kuroyanagi,""Kuroyanagi, Tetsuko"",""Chihiro Iwasaki, Dorothy Britton"",""=""""4770020678"""""",""=""""9784770020673"""""",0,4.30,Kodansha,Paperback,232,1996,1981,,2017/10/19,to-read,to-read (#293),to-read,,,,0,,,0,,,,,";
"867247,A Book of Five Rings: The Classic Guide to Strategy,Miyamoto Musashi,""Musashi, Miyamoto"",Victor Harris,""=""""0517415283"""""",""=""""9780517415283"""""",0,4.09,Gramercy,Hardcover,96,1988,1645,,2017/10/19,to-read,to-read (#292),to-read,,,,0,,,0,,,,,";
"26852157,""Lives of the Most Excellent Painters, Sculptors, and Architects"",Giorgio Vasari,""Vasari, Giorgio"",,""="""""""""",""="""""""""",0,4.75,,Kindle Edition,,2015,2015,,2017/10/19,to-read,to-read (#291),to-read,,,,0,,,0,,,,,";
"279456,""Plutarch's Lives, Vol 2"",Plutarch,""Plutarch, Plutarch"",""Arthur Hugh Clough, John Dryden"",""=""""0375756779"""""",""=""""9780375756771"""""",0,4.15,Modern Library,Paperback,706,2001,100,,2017/10/19,to-read,to-read (#290),to-read,,,,0,,,0,,,,,";
"415634,""Plutarch's Lives, Vol 1"",Plutarch,""Plutarch, Plutarch"",""Arthur Hugh Clough, John Dryden, James Atlas"",""=""""0375756760"""""",""=""""9780375756764"""""",0,4.08,Modern Library,Paperback,766,2001,100,,2017/10/19,to-read,to-read (#289),to-read,,,,0,,,0,,,,,";
"1221559,Letters from a Self-Made Merchant to His Son,George Horace Lorimer,""Lorimer, George Horace"",,""=""""0766161803"""""",""=""""9780766161801"""""",0,4.14,Kessinger Publishing,Paperback,364,2003,1902,,2017/10/19,to-read,to-read (#288),to-read,,,,0,,,0,,,,,";
"614029,Lord Chesterfield's Letters,Philip Dormer Stanhope,""Stanhope, Philip Dormer"",,""=""""019283715X"""""",""=""""9780192837158"""""",0,4.09,""Oxford University Press, USA"",Paperback,480,1998,1860,,2017/10/19,to-read,to-read (#287),to-read,,,,0,,,0,,,,,";
"19222676,Cyropaedia: the education of Cyrus,Xenophon,""Xenophon, Xenophon"",Henry Graham Dakyns,""="""""""""",""="""""""""",0,4.12,,Kindle Edition,210,2012,-354,,2017/10/19,to-read,to-read (#286),to-read,,,,0,,,0,,,,,";
"30659,Meditations,Marcus Aurelius,""Aurelius, Marcus"",""Martin Hammond, Diskin Clay"",""=""""0140449337"""""",""=""""9780140449334"""""",0,4.20,Penguin Books,Paperback,304,2006,180,,2017/10/19,to-read,to-read (#285),to-read,,,,0,,,0,,,,,";
"1334384,What I Learned Losing a Million Dollars,Jim Paul,""Paul, Jim"",""Brendan Moynihan, Charles L. Minter"",""=""""0963579495"""""",""=""""9780963579492"""""",0,3.84,Infrared Pr,Hardcover,190,1994,1994,,2017/10/19,to-read,to-read (#284),to-read,,,,0,,,0,,,,,";
"23425,Status Anxiety,Alain de Botton,""Botton, Alain de"",,""=""""0375725350"""""",""=""""9780375725357"""""",0,3.90,Vintage,Paperback,306,2005,2004,,2017/10/19,to-read,to-read (#283),to-read,,,,0,,,0,,,,,";
"18290401,Show Your Work!: 10 Ways to Share Your Creativity and Get Discovered,Austin Kleon,""Kleon, Austin"",,""=""""076117897X"""""",""=""""9780761178972"""""",0,4.13,Workman Publishing Company,Paperback,224,2014,2014,,2017/10/19,to-read,to-read (#282),to-read,,,,0,,,0,,,,,";
